board,wlanmacid,PramatiIP,network_unavailableIP
raspberrypi4,dc:a6:32:60:29:f9,172.16.54.121,192.168.0.201
raspberrypi3,b8:27:eb:40:55:12,172.16.54.94,192.168.0.202
